query_id	target_id	query	target	correct_pair	all-mpnet-base-v2	similar_words_ratio
ec2c5cb2-76fb-4907-9b02-896139c9febd	v726	The dependent variable is a measure of respondents’ belief in severe punishment, worded as a yes/no survey question: “Do you think crime can be reduced by severe punishment?” Responses were recoded so that a positive response (1) indicates respondents’ favoring severe punishment as an effective method of crime reduction. 	CRIME REDUCTION THROUGH PUNISHMENT?  Personal and collective values Do you think crime can be reduced by severe punishment?  Not available;Yes;No;Don't know;No answer	1	0.7111673002257151	0.2564102564102564
ec2c5cb2-76fb-4907-9b02-896139c9febd	v723	The dependent variable is a measure of respondents’ belief in severe punishment, worded as a yes/no survey question: “Do you think crime can be reduced by severe punishment?” Responses were recoded so that a positive response (1) indicates respondents’ favoring severe punishment as an effective method of crime reduction. 	IMPORTANCE: PUNISHMENT FOR THIEF  Personal and collective values Suppose you were the victim of a theft. The offender has been caught and has made good the damage/theft. How important would it be for you that the offender also was punished? Please use the card for your answer.  Very important;Not so important;Not important at all;Don't know;No answer	0	0.41484533173943205	0
ec2c5cb2-76fb-4907-9b02-896139c9febd	v1906	The dependent variable is a measure of respondents’ belief in severe punishment, worded as a yes/no survey question: “Do you think crime can be reduced by severe punishment?” Responses were recoded so that a positive response (1) indicates respondents’ favoring severe punishment as an effective method of crime reduction. 	WILLINGNESS OF RESPONDENT TO ANSWER  Data on the interview (paradata) How would you describe the willingness of the respondent to answer the questions?  Not available;Good;Middling;Poor;At first good, later poorer;At first poor, than good;No answer	0	0.43676236588387396	0
ec2c5cb2-76fb-4907-9b02-896139c9febd	v115	The dependent variable is a measure of respondents’ belief in severe punishment, worded as a yes/no survey question: “Do you think crime can be reduced by severe punishment?” Responses were recoded so that a positive response (1) indicates respondents’ favoring severe punishment as an effective method of crime reduction. 	LET WOMEN DECIDE FREELY ABOUT ABORTION?  Political attitudes and participation Now we would like to hear your views on some political problems. Using this scale, please tell me to what extent you agree with the following statements. Number 1 means that you completely disagree with the statement, number 7 means that you agree completely with it. You can use the numbers between 1 and 7 to qualify your response.  Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer	0	0.413990304158085	0.03278688524590164
ec2c5cb2-76fb-4907-9b02-896139c9febd	v706	The dependent variable is a measure of respondents’ belief in severe punishment, worded as a yes/no survey question: “Do you think crime can be reduced by severe punishment?” Responses were recoded so that a positive response (1) indicates respondents’ favoring severe punishment as an effective method of crime reduction. 	DEVIANT BEHAVIOR: HOMOSEXUALITY  Personal and collective values The next question again deals with some of the types of behaviour described in the previous question. If it was up to you, should these types of behaviour be prohibited by law or should they not be prohibited by law?  Not available;Should be prohibited by law;Should not be prohibited by law;Don't know;No answer	0	0.43278102993796674	0.047619047619047616
ec2c5cb2-76fb-4907-9b02-896139c9febd	v716	The dependent variable is a measure of respondents’ belief in severe punishment, worded as a yes/no survey question: “Do you think crime can be reduced by severe punishment?” Responses were recoded so that a positive response (1) indicates respondents’ favoring severe punishment as an effective method of crime reduction. 	WOULD DO: DRUNK DRIVING  Personal and collective values Without taking into account if you have actually committed any of these offenses in the past: Could you imagine that you would do something like this (again) in the future depending on the circumstances, or would you under no circumstances do something like this (again)? Please tick an answer for each of the four listed minor offenses  Not available;Yes, I would do this (again) depending on the circumstances;No, under no circumstances would I do this (again);Refused;No answer	0	0.39455266080770723	0
ec2c5cb2-76fb-4907-9b02-896139c9febd	v715	The dependent variable is a measure of respondents’ belief in severe punishment, worded as a yes/no survey question: “Do you think crime can be reduced by severe punishment?” Responses were recoded so that a positive response (1) indicates respondents’ favoring severe punishment as an effective method of crime reduction. 	WOULD DO: FARE DODGING  Personal and collective values Without taking into account if you have actually committed any of these offenses in the past: Could you imagine that you would do something like this (again) in the future depending on the circumstances, or would you under no circumstances do something like this (again)? Please tick an answer for each of the four listed minor offenses  Not available;Yes, I would do this (again) depending on the circumstances;No, under no circumstances would I do this (again);Refused;No answer	0	0.3860260314238605	0
ec2c5cb2-76fb-4907-9b02-896139c9febd	v696	The dependent variable is a measure of respondents’ belief in severe punishment, worded as a yes/no survey question: “Do you think crime can be reduced by severe punishment?” Responses were recoded so that a positive response (1) indicates respondents’ favoring severe punishment as an effective method of crime reduction. 	DEVIANT BEHAVIOR: FARE DODGING  Personal and collective values I am now going to hand you some cards which contain statements about various types of behavior. Using this card, please tell me whether you personally consider the behavior described on each of these cards to be - very bad - fairly bad - not so bad - definitely not bad.  Not available;Very bad;Fairly bad;Not so bad;Definitely not bad;Fairly bad;Don't know;No answer	0	0.422689402917773	0
ec2c5cb2-76fb-4907-9b02-896139c9febd	v258	The dependent variable is a measure of respondents’ belief in severe punishment, worded as a yes/no survey question: “Do you think crime can be reduced by severe punishment?” Responses were recoded so that a positive response (1) indicates respondents’ favoring severe punishment as an effective method of crime reduction. 	"FOREIGNERS: COMMIT CRIMES MORE OFTEN Ethnocentrism and Minorities What about the following statements about the foreigners who live in Germany? Using the scale, please tell me how far you agree with these statements. 1 on the scale means you ""completely disagree."" 7 on the scale means you ""completely agree."" You can differentiate your answers using the numbers in between.  Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer"	0	0.41073841210514184	0
ec2c5cb2-76fb-4907-9b02-896139c9febd	v1911	The dependent variable is a measure of respondents’ belief in severe punishment, worded as a yes/no survey question: “Do you think crime can be reduced by severe punishment?” Responses were recoded so that a positive response (1) indicates respondents’ favoring severe punishment as an effective method of crime reduction. 	WILLING TO PARTICIPATE IN ONLINE SURVEY?  Data on the interview (paradata) If respondent does use the internet for private purposes. Would you be willing to continue supporting our research project by participating in our internet survey? Respondent does not use the internet for private purposes t;Yes, I would;No, I wouldn't	0	0.38102723577950504	0.0425531914893617
04ccffc7-942c-49e8-958b-f5dac9c89c38	v243	Domain-specific national pride was assessed in each wave with questions addressing various German institutions and achievements: (a) the German constitution (“Grundgesetz”), (b) the German parliament (“Bundestag”), (c) achievements of German athletes, (d) economic achievements, (e) German art and literature, (f) scientific achievements, and (g) services of the welfare state. 	PROUD OF: SOCIAL WELFARE ACHIEVEMENTS  National pride If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of. Not selected;Selected;Not proud of any;Foreigner;No answer	1	0.7337158324240538	0.08888888888888889
04ccffc7-942c-49e8-958b-f5dac9c89c38	v242	Domain-specific national pride was assessed in each wave with questions addressing various German institutions and achievements: (a) the German constitution (“Grundgesetz”), (b) the German parliament (“Bundestag”), (c) achievements of German athletes, (d) economic achievements, (e) German art and literature, (f) scientific achievements, and (g) services of the welfare state. 	PROUD OF: SCIENTIFIC ACHIEVEMENTS  National pride If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of. Not selected;Selected;Not proud of any;Foreigner;No answer	0	0.7192802386618427	0.09090909090909091
04ccffc7-942c-49e8-958b-f5dac9c89c38	v240	Domain-specific national pride was assessed in each wave with questions addressing various German institutions and achievements: (a) the German constitution (“Grundgesetz”), (b) the German parliament (“Bundestag”), (c) achievements of German athletes, (d) economic achievements, (e) German art and literature, (f) scientific achievements, and (g) services of the welfare state. 	PROUD OF: ECONOMIC ACHIEVEMENTS  National pride If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of. Not selected;Selected;Not proud of any;Foreigner;No answer	0	0.7321493771107106	0.09090909090909091
04ccffc7-942c-49e8-958b-f5dac9c89c38	v238	Domain-specific national pride was assessed in each wave with questions addressing various German institutions and achievements: (a) the German constitution (“Grundgesetz”), (b) the German parliament (“Bundestag”), (c) achievements of German athletes, (d) economic achievements, (e) German art and literature, (f) scientific achievements, and (g) services of the welfare state. 	PROUD OF: GERMAN FEDERAL PARLIAMENT  National pride If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of. Not selected;Selected;Not proud of any;Foreigner;No answer	0	0.7131102447316018	0.08888888888888889
